title,url,is_paid,price,level,platform,content
Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,True,30.0,All Levels,Udemy,four fundamentals of financial planning all levels business finance
Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,True,200.0,All Levels,Udemy,options trading  calendar spread course for every trader all levels business finance
Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,True,60.0,Beginner Level,Udemy,dividend investing build your portfolio for a better future beginner level business finance
Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,True,200.0,Beginner Level,Udemy,learn accounting understand business beginner level business finance
How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,True,145.0,Intermediate Level,Udemy,how to consistently win trading stocks in 30 days or less intermediate level business finance
A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,True,20.0,Intermediate Level,Udemy,a beginners guide to quantopian futures api intermediate level business finance
How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,True,200.0,All Levels,Udemy,how to buy cheap options  options trading pricing model all levels business finance
Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,True,105.0,All Levels,Udemy,excel crash course master excel for financial analysis all levels business finance
"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,True,60.0,Beginner Level,Udemy,comprehensive guide to financial markets investing trading beginner level business finance
Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,True,155.0,All Levels,Udemy,stock trading ninja complete system for trading success all levels business finance
Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,True,200.0,All Levels,Udemy,hedge and mutual fund careers the complete guide all levels business finance
Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,True,185.0,All Levels,Udemy,algorithmic trading in forex create your first forex robot all levels business finance
The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,True,150.0,All Levels,Udemy,the power modeling bootcamp advanced excel in 10 days all levels business finance
Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,True,180.0,Beginner Level,Udemy,options trading basics 3course bundle beginner level business finance
How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,True,125.0,All Levels,Udemy,how to win 97 of your options trades all levels business finance
How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,True,200.0,All Levels,Udemy,how i make consistent returns trading options all levels business finance
"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,True,185.0,All Levels,Udemy,forex strategies kelly criterion larry williams and more all levels business finance
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,True,125.0,All Levels,Udemy,elite trend trader learn to trade stocks options  forex all levels business finance
Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,True,95.0,Beginner Level,Udemy,options trading introduction day trade stock options beginner level business finance
The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,True,200.0,All Levels,Udemy,the almost perfect options trading strategy system  unique all levels business finance
Forex Trading -  Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,True,20.0,All Levels,Udemy,forex trading   learn to trade forex like the banks all levels business finance
Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,True,60.0,Beginner Level,Udemy,learn to trade for profittrading with japanese candlesticks beginner level business finance
The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,True,200.0,All Levels,Udemy,the most powerful options spread trading front ratio spread all levels business finance
What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,True,200.0,All Levels,Udemy,what finance job is for you explanation of 14 finance roles all levels business finance
The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,True,120.0,All Levels,Udemy,the blueprint for successful stock trading all levels business finance
Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,True,150.0,Beginner Level,Udemy,trading for beginners  intermediate level beginner level business finance
Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,True,25.0,All Levels,Udemy,start trading stocks using technical analysis all levels business finance
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,True,200.0,Expert Level,Udemy,learn how to set up an incubator hedge fund  stepbystep expert level business finance
VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,True,160.0,All Levels,Udemy,vps for forex trading  protect your forex robots all levels business finance
Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,True,20.0,Beginner Level,Udemy,introduction to accounting the language of business beginner level business finance
Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,True,95.0,Beginner Level,Udemy,basic excel for basic bookkeeping and accounting beginner level business finance
"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,True,50.0,All Levels,Udemy,using the greeks to understand options all levels business finance
Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,True,200.0,All Levels,Udemy,trading options for consistent returns calendar spreads all levels business finance
How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,True,20.0,All Levels,Udemy,how to create your personal budget all levels business finance
The Complete Value Investing Course: A Proven Approach,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,True,200.0,All Levels,Udemy,the complete value investing course a proven approach all levels business finance
FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,True,195.0,Beginner Level,Udemy,forex trading with price action beginner level business finance
Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,True,200.0,All Levels,Udemy,emini es futures  advanced non directional options trading all levels business finance
Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,True,20.0,Intermediate Level,Udemy,forex trading  advanced fundamental analysis intermediate level business finance
How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,True,20.0,Beginner Level,Udemy,how to invest with tiny capital in stocks  beginner level business finance
Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,True,95.0,All Levels,Udemy,learn how to successfully trade stocks in 5 simple steps all levels business finance
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,True,150.0,Beginner Level,Udemy,forex metatrader 4 master mt4 like a pro forex trader beginner level business finance
Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,True,40.0,All Levels,Udemy,intermediate options trading concepts for stocks and options all levels business finance
Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,False,0.0,Beginner Level,Udemy,options trading 101 the basics beginner level business finance
Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,True,20.0,Intermediate Level,Udemy,practical accounts app overview intermediate level business finance
Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,True,100.0,Beginner Level,Udemy,bitcoin profits for beginners beginner level business finance
Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,True,75.0,All Levels,Udemy,trend traders club how to find and trade fast moving trends all levels business finance
Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,True,20.0,Beginner Level,Udemy,financial statements basics beginner level business finance
High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,True,40.0,All Levels,Udemy,high performance stock trading using key options techniques all levels business finance
Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,True,20.0,Beginner Level,Udemy,introduction to financial statement analysis beginner level business finance
Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,True,25.0,All Levels,Udemy,basics of economics college level all levels business finance
Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,False,0.0,Beginner Level,Udemy,stock market investing for beginners beginner level business finance
Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,True,50.0,Beginner Level,Udemy,accounting for beginners  learn basics in under 1 hour beginner level business finance
Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,True,200.0,All Levels,Udemy,straddle options trading  profit in any market direction all levels business finance
Fundamentals of Forex Trading,https://www.udemy.com/fundamentals-of-forex-trading/,False,0.0,All Levels,Udemy,fundamentals of forex trading all levels business finance
"Binary Options: Trading Strategies, 90% Accuracy and Signals",https://www.udemy.com/learn-trading-binary-options-from-scratch-and-3-strategies/,True,195.0,Beginner Level,Udemy,binary options trading strategies 90 accuracy and signals beginner level business finance
Website Investing 101 - Buying & Selling Online Businesses,https://www.udemy.com/cash-flow-website-investing-buy-sell-online-businesses-digital-assets/,False,0.0,All Levels,Udemy,website investing 101  buying  selling online businesses all levels business finance
Practical Accounts & Bookkeeping Automated Overview ,https://www.udemy.com/practical-accounts-bookkeeping-automated-overview/,True,20.0,All Levels,Udemy,practical accounts  bookkeeping automated overview  all levels business finance
Live Account - ETF Trading System - Hacking The Stock Market,https://www.udemy.com/cracked-wall-street-hacked-the-stock-market-top-secret/,True,150.0,All Levels,Udemy,live account  etf trading system  hacking the stock market all levels business finance
Stock Market Leverage: How to Start Trading Options Wisely,https://www.udemy.com/stock-market-tips-how-to-successfully-trade-options/,True,95.0,Beginner Level,Udemy,stock market leverage how to start trading options wisely beginner level business finance
Stock Market Foundations,https://www.udemy.com/how-to-invest-in-the-stock-market-beginners/,False,0.0,Beginner Level,Udemy,stock market foundations beginner level business finance
Crash Course on Working Capital Management,https://www.udemy.com/crash-course-on-working-capital-management/,True,20.0,All Levels,Udemy,crash course on working capital management all levels business finance
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,https://www.udemy.com/branch-accounts-a-complete-analysis/,True,150.0,All Levels,Udemy,advanced accounting a complete study for ca  cma  cfa  cs all levels business finance
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,https://www.udemy.com/61-profit-in-1-month-shattering-your-trading-paradigm/,True,20.0,All Levels,Udemy,61 profit in 1 month  crush your forex trading paradigm all levels business finance
How to create a routine Trading,https://www.udemy.com/how-to-create-a-trading-routine/,True,25.0,All Levels,Udemy,how to create a routine trading all levels business finance
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",https://www.udemy.com/forex-trading-robot-forex-trading/,True,150.0,All Levels,Udemy,forex trading secrets mt4 robot ea inside no coding all levels business finance
Forex SOS Course: Trading Tweaks And Working Forex Strategy,https://www.udemy.com/forex-sos-course/,True,50.0,Beginner Level,Udemy,forex sos course trading tweaks and working forex strategy beginner level business finance
Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,False,0.0,Intermediate Level,Udemy,introduction to financial modeling intermediate level business finance
Quantitative Aptitude for Banking & Competitive Examinations,https://www.udemy.com/quantitative-aptitude-for-competitive-examinations-part-i/,True,50.0,All Levels,Udemy,quantitative aptitude for banking  competitive examinations all levels business finance
Option Spreads and Credit Spreads Bundle,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,True,180.0,Expert Level,Udemy,option spreads and credit spreads bundle expert level business finance
B Com Accountancy I (Paper ECO 02 IGNOU),https://www.udemy.com/accounts-from-incomplete-records/,True,50.0,All Levels,Udemy,b com accountancy i paper eco 02 ignou all levels business finance
FOREX TRADING - Learn in a quick + profitable way + support,https://www.udemy.com/forex-the-only-simple-trading-your-ever-need-bank-trading/,True,100.0,All Levels,Udemy,forex trading  learn in a quick  profitable way  support all levels business finance
Auditing Basics (Professional Course Level),https://www.udemy.com/basics-of-auditing/,True,25.0,All Levels,Udemy,auditing basics professional course level all levels business finance
Stock market Investing Encyclopedia: How to invest in stocks,https://www.udemy.com/stockmarket/,True,200.0,Intermediate Level,Udemy,stock market investing encyclopedia how to invest in stocks intermediate level business finance
Learn the basics of preparing accounting statements,https://www.udemy.com/basics-of-financial-accounting/,True,20.0,Intermediate Level,Udemy,learn the basics of preparing accounting statements intermediate level business finance
Elliott Wave -Forex Trading With The Elliott Wave Theory,https://www.udemy.com/forex-trading-with-the-elliot-wave-theory/,True,90.0,Expert Level,Udemy,elliott wave forex trading with the elliott wave theory expert level business finance
Corporate Finance - A Brief Introduction,https://www.udemy.com/finance-a-brief-introduction-and-basics-finance-101/,False,0.0,Beginner Level,Udemy,corporate finance  a brief introduction beginner level business finance
Excel functions to analyze and visualize data,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/,True,20.0,Intermediate Level,Udemy,excel functions to analyze and visualize data intermediate level business finance
Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,True,35.0,Beginner Level,Udemy,building financial statements in excel beginner level business finance
Transfer Pricing A Complete Analysis,https://www.udemy.com/transfer-pricing-a-complete-analysis/,True,50.0,All Levels,Udemy,transfer pricing a complete analysis all levels business finance
Accounting: Get Hired Without Work Experience,https://www.udemy.com/accounting-get-hired-without-work-experience/,True,100.0,All Levels,Udemy,accounting get hired without work experience all levels business finance
Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,True,50.0,All Levels,Udemy,forex trading for beginners  basics all levels business finance
Basic Bookkeeping Hacks,https://www.udemy.com/basic-bookkeeping/,True,20.0,All Levels,Udemy,basic bookkeeping hacks all levels business finance
Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,True,200.0,All Levels,Udemy,complete trading plan course for stocks  forex 10 hours all levels business finance
"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,True,200.0,Beginner Level,Udemy,forex trading with fixed risk through options trading beginner level business finance
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,True,60.0,All Levels,Udemy,intro to investment banking ma ipo modeling  free book all levels business finance
How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,True,150.0,All Levels,Udemy,how to pick the right penny stocks to invest in 2017 all levels business finance
Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,True,20.0,All Levels,Udemy,top 10 trading ideas in the equities market all levels business finance
Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,True,105.0,Beginner Level,Udemy,intro to financial modeling beginner level business finance
Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,True,20.0,Beginner Level,Udemy,shark accounting  building a business by the numbers beginner level business finance
Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,True,150.0,All Levels,Udemy,forex trading make your first trade today all levels business finance
Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,False,0.0,Beginner Level,Udemy,accounting in 60 minutes  a brief introduction beginner level business finance
SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,True,100.0,Beginner Level,Udemy,sap fico for beginners  a guide to sap financial accounts beginner level business finance
Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,True,60.0,Intermediate Level,Udemy,learn how to double your forex trading account in one trade intermediate level business finance
"Accounting Superpowers: Learn Accounts, Understand Business!",https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,True,200.0,Beginner Level,Udemy,accounting superpowers learn accounts understand business beginner level business finance
Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,True,200.0,Intermediate Level,Udemy,python algo trading fx trading with oanda intermediate level business finance
Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,True,20.0,All Levels,Udemy,save on your taxes all levels business finance
Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,True,30.0,Beginner Level,Udemy,financial model basics build a model from start to finish beginner level business finance
Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,True,95.0,Beginner Level,Udemy,option trading for rookies the covered call option strategy beginner level business finance
EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,True,95.0,All Levels,Udemy,eft for stock options trading success  making better trades all levels business finance
Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,True,60.0,All Levels,Udemy,learn to trade the stock market without blowing your profits all levels business finance
Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,True,20.0,Beginner Level,Udemy,get a credit repair publication on amazon and live life beginner level business finance
Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,True,20.0,All Levels,Udemy,fundamentals of accounting all levels business finance
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,True,200.0,All Levels,Udemy,rsi options trading  technical analysis 3 course bundle all levels business finance
